"Common_name","State","Source","Year","set_tows","total_lengths","total_ages","total_otoliths"
"Dover sole","CA","NWFSC WCGBTS",2012,291,4215,562,1
"Dover sole","CA","NWFSC WCGBTS",2013,214,3686,416,8
"Dover sole","CA","NWFSC WCGBTS",2014,295,4925,571,4
"Dover sole","CA","NWFSC WCGBTS",2015,308,5012,582,8
"Dover sole","CA","NWFSC WCGBTS",2016,301,4874,582,2
"Dover sole","CA","NWFSC WCGBTS",2017,301,3062,584,6
"Dover sole","CA","NWFSC WCGBTS",2018,318,3034,620,3
"Dover sole","CA","NWFSC WCGBTS",2019,148,1546,256,32
"Dover sole","CA","NWFSC WCGBTS",2021,310,2913,57,545
"Dover sole","CA","NWFSC WCGBTS",2022,299,2706,51,524
"Dover sole","CA","NWFSC WCGBTS",2023,292,2528,11,550
"Dover sole","CA","NWFSC WCGBTS",2024,294,2629,0,568
"Dover sole","OR","NWFSC WCGBTS",2003,138,8239,298,680
"Dover sole","OR","NWFSC WCGBTS",2004,143,6883,346,580
"Dover sole","OR","NWFSC WCGBTS",2005,188,6994,358,543
"Dover sole","OR","NWFSC WCGBTS",2006,190,5428,371,379
"Dover sole","OR","NWFSC WCGBTS",2007,205,4237,355,412
"Dover sole","OR","NWFSC WCGBTS",2008,176,2380,326,24
"Dover sole","OR","NWFSC WCGBTS",2009,188,1518,362,6
"Dover sole","OR","NWFSC WCGBTS",2010,185,1031,309,54
"Dover sole","OR","NWFSC WCGBTS",2011,183,2991,348,4
"Dover sole","OR","NWFSC WCGBTS",2012,182,3104,363,3
"Dover sole","OR","NWFSC WCGBTS",2013,136,2408,273,0
"Dover sole","OR","NWFSC WCGBTS",2014,188,3331,365,1
"Dover sole","OR","NWFSC WCGBTS",2015,176,3439,344,1
"Dover sole","OR","NWFSC WCGBTS",2016,207,3968,398,3
"Dover sole","OR","NWFSC WCGBTS",2017,206,2334,408,5
"Dover sole","OR","NWFSC WCGBTS",2018,189,2121,375,1
"Dover sole","OR","NWFSC WCGBTS",2019,97,976,162,26
"Dover sole","OR","NWFSC WCGBTS",2021,192,1986,27,349
"Dover sole","OR","NWFSC WCGBTS",2022,200,2082,48,339
"Dover sole","OR","NWFSC WCGBTS",2023,171,1700,0,347
"Dover sole","OR","NWFSC WCGBTS",2024,203,2013,0,398
"Dover sole","WA","NWFSC WCGBTS",2003,99,5806,236,446
"Dover sole","WA","NWFSC WCGBTS",2004,62,2855,77,316
"Dover sole","WA","NWFSC WCGBTS",2005,81,3031,151,234
"Dover sole","WA","NWFSC WCGBTS",2006,63,1821,123,127
"Dover sole","WA","NWFSC WCGBTS",2007,92,1988,166,194
"Dover sole","WA","NWFSC WCGBTS",2008,85,999,154,11
"Dover sole","WA","NWFSC WCGBTS",2009,84,596,163,1
"Dover sole","WA","NWFSC WCGBTS",2010,100,745,162,39
"Dover sole","WA","NWFSC WCGBTS",2011,98,1672,191,2
"Dover sole","WA","NWFSC WCGBTS",2012,84,1429,159,2
"Dover sole","WA","NWFSC WCGBTS",2013,62,1223,118,1
"Dover sole","WA","NWFSC WCGBTS",2014,89,1871,178,2
"Dover sole","WA","NWFSC WCGBTS",2015,81,1595,159,0
"Dover sole","WA","NWFSC WCGBTS",2016,72,1318,140,1
"Dover sole","WA","NWFSC WCGBTS",2017,78,813,148,3
"Dover sole","WA","NWFSC WCGBTS",2018,85,879,166,1
"Dover sole","WA","NWFSC WCGBTS",2019,45,511,68,21
"Dover sole","WA","NWFSC WCGBTS",2021,76,738,12,132
"Dover sole","WA","NWFSC WCGBTS",2022,52,514,10,89
"Dover sole","WA","NWFSC WCGBTS",2023,99,961,0,194
"Dover sole","WA","NWFSC WCGBTS",2024,85,823,0,166
"English sole","CA","NWFSC WCGBTS",2003,121,4481,110,943
"English sole","CA","NWFSC WCGBTS",2004,103,3923,181,276
"English sole","CA","NWFSC WCGBTS",2005,142,3950,187,449
"English sole","CA","NWFSC WCGBTS",2006,110,2392,0,477
"English sole","CA","NWFSC WCGBTS",2007,112,1711,0,441
"English sole","CA","NWFSC WCGBTS",2008,120,1769,0,437
"English sole","CA","NWFSC WCGBTS",2009,145,1903,0,544
"English sole","CA","NWFSC WCGBTS",2010,137,1028,0,515
"English sole","CA","NWFSC WCGBTS",2011,147,2249,0,518
"English sole","CA","NWFSC WCGBTS",2012,163,2816,0,614
"English sole","CA","NWFSC WCGBTS",2013,104,1866,0,394
"English sole","CA","NWFSC WCGBTS",2014,152,2781,0,573
"English sole","CA","NWFSC WCGBTS",2015,163,2756,0,595
"English sole","CA","NWFSC WCGBTS",2016,152,2531,0,304
"English sole","CA","NWFSC WCGBTS",2017,161,1723,0,310
"English sole","CA","NWFSC WCGBTS",2018,138,1409,0,268
"English sole","CA","NWFSC WCGBTS",2019,67,620,0,126
"English sole","CA","NWFSC WCGBTS",2021,156,1437,0,311
"English sole","CA","NWFSC WCGBTS",2022,134,1147,0,254
"English sole","CA","NWFSC WCGBTS",2023,132,1143,0,245
"English sole","CA","NWFSC WCGBTS",2024,121,1056,0,230
"English sole","OR","NWFSC WCGBTS",2003,47,2110,35,348
"English sole","OR","NWFSC WCGBTS",2004,64,3031,114,177
"English sole","OR","NWFSC WCGBTS",2005,103,3527,130,307
"English sole","OR","NWFSC WCGBTS",2006,82,2420,0,353
"English sole","OR","NWFSC WCGBTS",2007,80,1697,0,325
"English sole","OR","NWFSC WCGBTS",2008,81,1349,0,289
"English sole","OR","NWFSC WCGBTS",2009,66,1135,0,249
"English sole","OR","NWFSC WCGBTS",2010,91,940,0,330
"English sole","OR","NWFSC WCGBTS",2011,95,1428,0,347
"English sole","OR","NWFSC WCGBTS",2012,93,1313,0,322
"English sole","OR","NWFSC WCGBTS",2013,65,1133,0,226
"English sole","OR","NWFSC WCGBTS",2014,102,1534,0,354
"English sole","OR","NWFSC WCGBTS",2015,85,1478,0,294
"English sole","OR","NWFSC WCGBTS",2016,111,1977,0,223
"English sole","OR","NWFSC WCGBTS",2017,111,1292,0,212
"English sole","OR","NWFSC WCGBTS",2018,88,931,0,174
"English sole","OR","NWFSC WCGBTS",2019,44,421,0,85
"English sole","OR","NWFSC WCGBTS",2021,92,804,0,177
"English sole","OR","NWFSC WCGBTS",2022,109,998,0,207
"English sole","OR","NWFSC WCGBTS",2023,93,800,0,177
"English sole","OR","NWFSC WCGBTS",2024,88,778,0,171
"English sole","WA","NWFSC WCGBTS",2003,52,1525,36,289
"English sole","WA","NWFSC WCGBTS",2004,43,1238,64,108
"English sole","WA","NWFSC WCGBTS",2005,43,895,41,121
"English sole","WA","NWFSC WCGBTS",2006,35,474,0,140
"English sole","WA","NWFSC WCGBTS",2007,47,537,0,160
"English sole","WA","NWFSC WCGBTS",2008,35,383,0,113
"English sole","WA","NWFSC WCGBTS",2009,30,316,0,96
"English sole","WA","NWFSC WCGBTS",2010,57,499,0,199
"English sole","WA","NWFSC WCGBTS",2011,57,777,0,197
"English sole","WA","NWFSC WCGBTS",2012,41,468,0,134
"English sole","WA","NWFSC WCGBTS",2013,34,526,0,124
"English sole","WA","NWFSC WCGBTS",2014,56,907,0,207
"English sole","WA","NWFSC WCGBTS",2015,57,871,0,202
"English sole","WA","NWFSC WCGBTS",2016,47,715,0,95
"English sole","WA","NWFSC WCGBTS",2017,48,519,0,99
"English sole","WA","NWFSC WCGBTS",2018,61,586,0,120
"English sole","WA","NWFSC WCGBTS",2019,37,372,0,71
"English sole","WA","NWFSC WCGBTS",2021,48,421,0,91
"English sole","WA","NWFSC WCGBTS",2022,33,313,0,64
"English sole","WA","NWFSC WCGBTS",2023,65,637,0,130
"English sole","WA","NWFSC WCGBTS",2024,63,541,0,122
"Pacific cod","CA","NWFSC WCGBTS",2003,5,13,0,0
"Pacific cod","CA","NWFSC WCGBTS",2009,1,1,0,0
"Pacific cod","OR","NWFSC WCGBTS",2003,15,88,0,0
"Pacific cod","OR","NWFSC WCGBTS",2004,15,75,0,0
"Pacific cod","OR","NWFSC WCGBTS",2005,5,29,0,0
"Pacific cod","OR","NWFSC WCGBTS",2006,2,20,0,0
"Pacific cod","OR","NWFSC WCGBTS",2007,3,5,0,0
"Pacific cod","OR","NWFSC WCGBTS",2008,5,11,0,0
"Pacific cod","OR","NWFSC WCGBTS",2009,4,5,0,0
"Pacific cod","OR","NWFSC WCGBTS",2010,11,59,0,57
"Pacific cod","OR","NWFSC WCGBTS",2011,3,6,0,6
"Pacific cod","OR","NWFSC WCGBTS",2012,3,4,0,4
"Pacific cod","OR","NWFSC WCGBTS",2013,5,8,0,0
"Pacific cod","OR","NWFSC WCGBTS",2014,6,10,0,10
"Pacific cod","OR","NWFSC WCGBTS",2015,24,99,0,80
"Pacific cod","OR","NWFSC WCGBTS",2016,6,66,0,32
"Pacific cod","OR","NWFSC WCGBTS",2017,3,7,0,7
"Pacific cod","OR","NWFSC WCGBTS",2019,1,1,0,1
"Pacific cod","OR","NWFSC WCGBTS",2022,5,16,0,16
"Pacific cod","OR","NWFSC WCGBTS",2023,2,2,0,2
"Pacific cod","WA","NWFSC WCGBTS",2003,48,682,0,0
"Pacific cod","WA","NWFSC WCGBTS",2004,31,215,0,0
"Pacific cod","WA","NWFSC WCGBTS",2005,22,170,0,0
"Pacific cod","WA","NWFSC WCGBTS",2006,13,146,0,0
"Pacific cod","WA","NWFSC WCGBTS",2007,21,172,0,0
"Pacific cod","WA","NWFSC WCGBTS",2008,15,78,0,0
"Pacific cod","WA","NWFSC WCGBTS",2009,12,117,0,0
"Pacific cod","WA","NWFSC WCGBTS",2010,37,345,0,164
"Pacific cod","WA","NWFSC WCGBTS",2011,31,295,0,144
"Pacific cod","WA","NWFSC WCGBTS",2012,18,150,0,85
"Pacific cod","WA","NWFSC WCGBTS",2013,22,167,0,33
"Pacific cod","WA","NWFSC WCGBTS",2014,33,230,0,175
"Pacific cod","WA","NWFSC WCGBTS",2015,38,229,0,190
"Pacific cod","WA","NWFSC WCGBTS",2016,25,165,0,116
"Pacific cod","WA","NWFSC WCGBTS",2017,23,89,0,88
"Pacific cod","WA","NWFSC WCGBTS",2018,10,45,0,45
"Pacific cod","WA","NWFSC WCGBTS",2019,9,68,0,32
"Pacific cod","WA","NWFSC WCGBTS",2021,7,24,0,24
"Pacific cod","WA","NWFSC WCGBTS",2022,15,59,0,59
"Pacific cod","WA","NWFSC WCGBTS",2023,23,187,0,115
"Pacific cod","WA","NWFSC WCGBTS",2024,11,114,0,72
"Pacific ocean perch","CA","NWFSC WCGBTS",2003,4,14,14,0
"Pacific ocean perch","CA","NWFSC WCGBTS",2005,3,21,21,0
"Pacific ocean perch","CA","NWFSC WCGBTS",2006,1,1,1,0
"Pacific ocean perch","CA","NWFSC WCGBTS",2007,7,9,9,0
"Pacific ocean perch","CA","NWFSC WCGBTS",2008,2,5,5,0
"Pacific ocean perch","CA","NWFSC WCGBTS",2009,5,5,5,0
"Pacific ocean perch","CA","NWFSC WCGBTS",2010,2,2,2,0
"Pacific ocean perch","CA","NWFSC WCGBTS",2011,4,9,8,1
"Pacific ocean perch","CA","NWFSC WCGBTS",2012,4,10,0,9
"Pacific ocean perch","CA","NWFSC WCGBTS",2013,2,26,0,26
"Pacific ocean perch","CA","NWFSC WCGBTS",2014,3,5,5,0
"Pacific ocean perch","CA","NWFSC WCGBTS",2015,2,8,8,0
"Pacific ocean perch","CA","NWFSC WCGBTS",2017,5,7,0,7
"Pacific ocean perch","CA","NWFSC WCGBTS",2018,2,2,0,2
"Pacific ocean perch","CA","NWFSC WCGBTS",2019,1,1,0,1
"Pacific ocean perch","CA","NWFSC WCGBTS",2021,2,10,0,10
"Pacific ocean perch","CA","NWFSC WCGBTS",2022,7,66,0,66
"Pacific ocean perch","CA","NWFSC WCGBTS",2023,5,22,0,22
"Pacific ocean perch","CA","NWFSC WCGBTS",2024,3,9,0,9
"Pacific ocean perch","OR","NWFSC WCGBTS",2003,24,524,199,0
"Pacific ocean perch","OR","NWFSC WCGBTS",2004,27,378,159,0
"Pacific ocean perch","OR","NWFSC WCGBTS",2005,20,184,109,0
"Pacific ocean perch","OR","NWFSC WCGBTS",2006,21,307,128,1
"Pacific ocean perch","OR","NWFSC WCGBTS",2007,27,180,176,0
"Pacific ocean perch","OR","NWFSC WCGBTS",2008,20,172,120,0
"Pacific ocean perch","OR","NWFSC WCGBTS",2009,30,223,169,0
"Pacific ocean perch","OR","NWFSC WCGBTS",2010,31,496,269,0
"Pacific ocean perch","OR","NWFSC WCGBTS",2011,34,576,433,2
"Pacific ocean perch","OR","NWFSC WCGBTS",2012,32,676,0,415
"Pacific ocean perch","OR","NWFSC WCGBTS",2013,34,374,150,175
"Pacific ocean perch","OR","NWFSC WCGBTS",2014,28,328,246,0
"Pacific ocean perch","OR","NWFSC WCGBTS",2015,45,388,353,2
"Pacific ocean perch","OR","NWFSC WCGBTS",2016,38,866,550,55
"Pacific ocean perch","OR","NWFSC WCGBTS",2017,37,640,0,529
"Pacific ocean perch","OR","NWFSC WCGBTS",2018,26,344,0,284
"Pacific ocean perch","OR","NWFSC WCGBTS",2019,15,230,0,186
"Pacific ocean perch","OR","NWFSC WCGBTS",2021,37,586,0,584
"Pacific ocean perch","OR","NWFSC WCGBTS",2022,50,647,0,645
"Pacific ocean perch","OR","NWFSC WCGBTS",2023,30,754,0,453
"Pacific ocean perch","OR","NWFSC WCGBTS",2024,41,647,0,445
"Pacific ocean perch","WA","NWFSC WCGBTS",2003,18,888,219,2
"Pacific ocean perch","WA","NWFSC WCGBTS",2004,7,187,60,0
"Pacific ocean perch","WA","NWFSC WCGBTS",2005,16,322,128,0
"Pacific ocean perch","WA","NWFSC WCGBTS",2006,11,351,125,0
"Pacific ocean perch","WA","NWFSC WCGBTS",2007,16,439,254,0
"Pacific ocean perch","WA","NWFSC WCGBTS",2008,17,362,203,0
"Pacific ocean perch","WA","NWFSC WCGBTS",2009,11,243,157,2
"Pacific ocean perch","WA","NWFSC WCGBTS",2010,20,409,308,0
"Pacific ocean perch","WA","NWFSC WCGBTS",2011,15,336,233,0
"Pacific ocean perch","WA","NWFSC WCGBTS",2012,14,489,0,275
"Pacific ocean perch","WA","NWFSC WCGBTS",2013,9,332,49,153
"Pacific ocean perch","WA","NWFSC WCGBTS",2014,21,658,375,0
"Pacific ocean perch","WA","NWFSC WCGBTS",2015,22,769,479,3
"Pacific ocean perch","WA","NWFSC WCGBTS",2016,12,284,153,12
"Pacific ocean perch","WA","NWFSC WCGBTS",2017,14,329,0,242
"Pacific ocean perch","WA","NWFSC WCGBTS",2018,12,302,0,251
"Pacific ocean perch","WA","NWFSC WCGBTS",2019,3,114,0,104
"Pacific ocean perch","WA","NWFSC WCGBTS",2021,20,225,0,225
"Pacific ocean perch","WA","NWFSC WCGBTS",2022,10,344,0,294
"Pacific ocean perch","WA","NWFSC WCGBTS",2023,15,341,0,187
"Pacific ocean perch","WA","NWFSC WCGBTS",2024,17,285,0,205
"Pacific sanddab","CA","NWFSC WCGBTS",2003,83,5804,492,5
"Pacific sanddab","CA","NWFSC WCGBTS",2004,91,6176,814,5
"Pacific sanddab","CA","NWFSC WCGBTS",2005,123,5197,557,4
"Pacific sanddab","CA","NWFSC WCGBTS",2006,98,3511,393,13
"Pacific sanddab","CA","NWFSC WCGBTS",2007,106,2598,406,4
"Pacific sanddab","CA","NWFSC WCGBTS",2008,118,2672,458,2
"Pacific sanddab","CA","NWFSC WCGBTS",2009,140,1801,0,530
"Pacific sanddab","CA","NWFSC WCGBTS",2010,152,860,648,72
"Pacific sanddab","CA","NWFSC WCGBTS",2011,139,2885,421,49
"Pacific sanddab","CA","NWFSC WCGBTS",2012,148,3061,525,53
"Pacific sanddab","CA","NWFSC WCGBTS",2013,92,2049,0,362
"Pacific sanddab","CA","NWFSC WCGBTS",2014,130,2851,0,507
"Pacific sanddab","CA","NWFSC WCGBTS",2015,138,2863,0,532
"Pacific sanddab","CA","NWFSC WCGBTS",2016,121,2586,0,241
"Pacific sanddab","CA","NWFSC WCGBTS",2017,124,1618,0,244
"Pacific sanddab","CA","NWFSC WCGBTS",2018,125,1461,0,243
"Pacific sanddab","CA","NWFSC WCGBTS",2019,53,622,0,106
"Pacific sanddab","CA","NWFSC WCGBTS",2021,134,1351,0,263
"Pacific sanddab","CA","NWFSC WCGBTS",2022,122,1298,0,240
"Pacific sanddab","CA","NWFSC WCGBTS",2023,116,1179,0,236
"Pacific sanddab","CA","NWFSC WCGBTS",2024,120,1277,0,232
"Pacific sanddab","OR","NWFSC WCGBTS",2003,26,1347,166,2
"Pacific sanddab","OR","NWFSC WCGBTS",2004,50,3474,445,3
"Pacific sanddab","OR","NWFSC WCGBTS",2005,78,4285,356,6
"Pacific sanddab","OR","NWFSC WCGBTS",2006,54,1826,219,1
"Pacific sanddab","OR","NWFSC WCGBTS",2007,58,1325,229,4
"Pacific sanddab","OR","NWFSC WCGBTS",2008,62,1464,237,3
"Pacific sanddab","OR","NWFSC WCGBTS",2009,59,827,0,223
"Pacific sanddab","OR","NWFSC WCGBTS",2010,67,468,272,46
"Pacific sanddab","OR","NWFSC WCGBTS",2011,71,1153,242,31
"Pacific sanddab","OR","NWFSC WCGBTS",2012,65,1074,207,40
"Pacific sanddab","OR","NWFSC WCGBTS",2013,45,865,0,172
"Pacific sanddab","OR","NWFSC WCGBTS",2014,76,1394,0,283
"Pacific sanddab","OR","NWFSC WCGBTS",2015,71,1469,0,267
"Pacific sanddab","OR","NWFSC WCGBTS",2016,76,1497,0,162
"Pacific sanddab","OR","NWFSC WCGBTS",2017,85,1066,0,165
"Pacific sanddab","OR","NWFSC WCGBTS",2018,66,783,0,128
"Pacific sanddab","OR","NWFSC WCGBTS",2019,35,371,0,67
"Pacific sanddab","OR","NWFSC WCGBTS",2021,75,734,0,146
"Pacific sanddab","OR","NWFSC WCGBTS",2022,76,792,1,144
"Pacific sanddab","OR","NWFSC WCGBTS",2023,71,758,0,142
"Pacific sanddab","OR","NWFSC WCGBTS",2024,70,677,0,140
"Pacific sanddab","WA","NWFSC WCGBTS",2003,24,1776,129,1
"Pacific sanddab","WA","NWFSC WCGBTS",2004,23,1055,150,0
"Pacific sanddab","WA","NWFSC WCGBTS",2005,20,689,90,4
"Pacific sanddab","WA","NWFSC WCGBTS",2006,23,459,80,1
"Pacific sanddab","WA","NWFSC WCGBTS",2007,26,396,90,2
"Pacific sanddab","WA","NWFSC WCGBTS",2008,22,400,73,1
"Pacific sanddab","WA","NWFSC WCGBTS",2009,16,171,0,56
"Pacific sanddab","WA","NWFSC WCGBTS",2010,22,179,93,15
"Pacific sanddab","WA","NWFSC WCGBTS",2011,30,538,89,16
"Pacific sanddab","WA","NWFSC WCGBTS",2012,26,438,80,13
"Pacific sanddab","WA","NWFSC WCGBTS",2013,22,388,0,80
"Pacific sanddab","WA","NWFSC WCGBTS",2014,35,772,0,135
"Pacific sanddab","WA","NWFSC WCGBTS",2015,37,694,0,127
"Pacific sanddab","WA","NWFSC WCGBTS",2016,26,488,0,60
"Pacific sanddab","WA","NWFSC WCGBTS",2017,32,364,0,55
"Pacific sanddab","WA","NWFSC WCGBTS",2018,36,371,0,69
"Pacific sanddab","WA","NWFSC WCGBTS",2019,22,242,0,42
"Pacific sanddab","WA","NWFSC WCGBTS",2021,25,258,0,51
"Pacific sanddab","WA","NWFSC WCGBTS",2022,23,244,0,46
"Pacific sanddab","WA","NWFSC WCGBTS",2023,34,343,0,67
"Pacific sanddab","WA","NWFSC WCGBTS",2024,31,316,0,62
"Pacific spiny dogfish","CA","NWFSC HKL",2005,2,2,0,0
"Pacific spiny dogfish","CA","NWFSC HKL",2006,1,1,0,0
"Pacific spiny dogfish","CA","NWFSC HKL",2012,1,1,0,0
"Pacific spiny dogfish","CA","NWFSC HKL",2017,1,1,0,0
"Pacific spiny dogfish","CA","NWFSC HKL",2021,1,1,0,0
"Pacific spiny dogfish","CA","NWFSC HKL",2023,1,1,0,0
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2003,82,1069,0,315
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2004,79,1279,0,240
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2005,128,2171,0,473
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2006,117,3025,0,478
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2007,103,1335,0,378
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2008,116,1684,0,441
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2009,108,1187,0,391
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2010,109,896,285,216
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2011,88,643,0,267
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2012,85,726,0,270
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2013,58,481,0,202
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2014,70,439,0,189
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2015,64,149,0,123
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2016,44,196,0,91
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2017,50,217,0,104
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2018,63,263,0,136
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2019,30,221,0,85
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2021,81,547,0,208
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2022,75,497,0,2
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2023,95,574,0,0
"Pacific spiny dogfish","CA","NWFSC WCGBTS",2024,56,312,0,135
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2003,40,381,0,120
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2004,35,187,0,96
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2005,70,443,0,179
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2006,65,412,0,167
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2007,56,350,0,138
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2008,70,401,0,190
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2009,53,262,0,122
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2010,52,288,128,80
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2011,57,288,0,145
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2012,48,279,0,132
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2013,18,31,0,31
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2014,29,275,0,86
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2015,35,150,0,85
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2016,37,97,0,78
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2017,19,31,0,31
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2018,44,219,0,102
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2019,12,33,0,20
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2021,17,41,0,38
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2022,28,83,0,0
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2023,23,53,0,0
"Pacific spiny dogfish","OR","NWFSC WCGBTS",2024,21,80,0,39
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2003,57,2342,0,241
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2004,47,1065,0,214
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2005,55,956,0,216
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2006,40,432,0,131
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2007,65,736,0,233
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2008,64,817,0,261
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2009,44,212,0,119
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2010,65,543,178,144
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2011,55,706,0,227
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2012,39,503,0,160
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2013,19,101,0,54
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2014,55,762,0,195
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2015,46,371,0,142
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2016,38,478,0,122
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2017,32,291,0,92
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2018,29,293,0,93
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2019,23,235,0,82
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2021,23,171,0,66
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2022,21,206,0,1
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2023,32,136,0,0
"Pacific spiny dogfish","WA","NWFSC WCGBTS",2024,32,206,0,84
"arrowtooth flounder","CA","NWFSC WCGBTS",2003,40,502,87,139
