area,year,est,lwr,upr,log_est,se,se_natural,type,common_name
Coastwide,2010,6500.73387478735,3979.25194817379,10619.9711556847,8.77967035332401,0.250423594159149,5367.21731096515,index,rosethorn rockfish
Coastwide,2011,5915.2912874078,3678.36992644264,9512.5481434985,8.68529602074651,0.242387638872601,4904.34134681521,index,rosethorn rockfish
Coastwide,2012,5054.75323782464,2921.27491808436,8746.36280793921,8.5280843147981,0.279754578842971,4148.01501840526,index,rosethorn rockfish
Coastwide,2013,11541.8348252364,6628.78089282513,20096.2972357749,9.35373352441096,0.282942615229054,9580.95233807008,index,rosethorn rockfish
Coastwide,2014,5665.30302128701,3448.35626055756,9307.52390352332,8.64211566210871,0.253301956439556,4681.53428771373,index,rosethorn rockfish
Coastwide,2015,3453.92187487447,1954.72778794553,6102.9348389602,8.14726563971152,0.290443814467755,2817.08935306979,index,rosethorn rockfish
Coastwide,2016,6383.76579922672,3977.34673602543,10246.1435937317,8.76151345287193,0.241404041030748,5311.2568838912,index,rosethorn rockfish
Coastwide,2017,7444.76215738213,4459.60214188905,12428.1229169272,8.91526599798351,0.261459479278753,6120.73212936063,index,rosethorn rockfish
Coastwide,2018,5000.83470058199,3014.58638208704,8295.7807582317,8.51736011759968,0.258240563880701,4113.67154505826,index,rosethorn rockfish
Coastwide,2019,7172.24566166077,3191.253062948,16119.4072724812,8.87797408701916,0.413173489439539,5849.90165353057,index,rosethorn rockfish
Coastwide,2021,4744.36888983251,2866.14853520824,7853.40881196694,8.46471369689404,0.257142104224384,3918.89611308327,index,rosethorn rockfish
Coastwide,2022,2873.40436711244,1645.33183163367,5018.10789665627,7.96325279641692,0.284472284491213,2355.44049366825,index,rosethorn rockfish
Coastwide,2023,5073.72843161466,2861.93883546093,8994.85337660227,8.53183121716889,0.292136301000838,4155.50564103482,index,rosethorn rockfish
Coastwide,2024,6709.42867704601,4015.09545783432,11211.7964927909,8.81126908134009,0.26197046679975,5518.37263239509,index,rosethorn rockfish
Coastwide,2003,43750.7845305903,36176.9830066587,52910.1928342069,10.6862648237528,0.0969846681920227,41465.4266270552,index,shortspine thornyhead
Coastwide,2004,46992.709021729,38679.0095662861,57093.3621611068,10.7577477414615,0.099336212090235,44493.4053765919,index,shortspine thornyhead
Coastwide,2005,51122.8183060524,43353.5758949964,60284.3594236315,10.8419862187143,0.0841044796132183,48622.5755180122,index,shortspine thornyhead
Coastwide,2006,51873.1047474339,44461.2341108868,60520.5647109867,10.8565557218764,0.0786661276328812,49445.9480737617,index,shortspine thornyhead
Coastwide,2007,47572.4573406219,40850.2803838836,55400.8118465242,10.7700092454523,0.0777260616249883,45368.2659977913,index,shortspine thornyhead
Coastwide,2008,47782.673244193,40487.1317401622,56392.8281463429,10.7744183683351,0.0845316045838136,45495.799468341,index,shortspine thornyhead
Coastwide,2009,46048.5863848246,39153.2587378997,54158.2585050085,10.7374523438143,0.0827634639718441,43833.0467386815,index,shortspine thornyhead
Coastwide,2010,43383.0818941346,37190.8161533856,50606.3590234455,10.6778248259822,0.0785767978453558,41327.6379423039,index,shortspine thornyhead
Coastwide,2011,47766.9438962117,40845.2028118285,55861.6623767402,10.7740891289599,0.0798710950963626,45477.476206759,index,shortspine thornyhead
Coastwide,2012,45924.8872177167,39305.0338616273,53659.6730430264,10.7347624542875,0.079417059588045,43696.9202013694,index,shortspine thornyhead
Coastwide,2013,47497.3061713233,39957.3943187201,56459.9902470491,10.7684282762319,0.0881951169502058,45096.8364020796,index,shortspine thornyhead
Coastwide,2014,46423.2039790551,39690.1702412603,54298.428416429,10.7455546989686,0.0799483384201671,44161.3580528176,index,shortspine thornyhead
Coastwide,2015,47098.2289279142,40675.241301764,54535.4642567299,10.7599906769178,0.074805360491496,44908.8642647849,index,shortspine thornyhead
Coastwide,2016,49970.1515266146,43361.2776776022,57586.3115048988,10.8191811366854,0.0723783882717032,47659.0454372538,index,shortspine thornyhead
Coastwide,2017,54704.846258691,47296.6879289675,63273.3566604386,10.9097075815366,0.0742421969482393,52152.9900941399,index,shortspine thornyhead
Coastwide,2018,54557.498611228,47160.4938687111,63114.7049265516,10.907010444898,0.0743373956133078,52029.8151172327,index,shortspine thornyhead
Coastwide,2019,56006.1814264556,46184.5704720671,67916.4562084682,10.9332173462409,0.098377469657216,52936.8967481731,index,shortspine thornyhead
Coastwide,2021,61200.666831551,52810.230904685,70924.166709035,11.0219133643814,0.0752325795200389,58276.080543462,index,shortspine thornyhead
Coastwide,2022,64710.536047886,55514.9841682738,75429.247406646,11.0776793118663,0.0782009591840352,61547.617112614,index,shortspine thornyhead
Coastwide,2023,71494.5407903089,61390.4221412946,83261.674778074,11.177376373184,0.0777398276716495,68080.4527095195,index,shortspine thornyhead
Coastwide,2024,64974.5399512968,55927.1665498924,75485.5127179831,11.081750779089,0.0765040859876048,61890.6310350543,index,shortspine thornyhead
