year,est,lwr,upr,log_est,se,se_natural,type,index,index_id,common_name
2014,8175.963358,6211.166592,10762.29012,9.008953831,0.140232075,6605.004354,index,California,1,arrowtooth flounder
2015,6056.538041,4594.073135,7984.560098,8.708893635,0.141008373,4857.18774,index,California,1,arrowtooth flounder
2016,4956.630722,3661.852255,6709.224296,8.508481499,0.154470757,3895.179658,index,California,1,arrowtooth flounder
2017,4998.453549,3624.607904,6893.031892,8.516883853,0.163973654,3991.679266,index,California,1,arrowtooth flounder
2018,3831.937756,2761.908931,5316.521047,8.251125896,0.167068649,3045.9903,index,California,1,arrowtooth flounder
2019,3128.601221,2126.734443,4602.429623,8.048341289,0.196941544,2419.366477,index,California,1,arrowtooth flounder
2021,2304.16038,1638.700509,3239.856842,7.742471629,0.173887274,1832.267006,index,California,1,arrowtooth flounder
2022,6977.477165,5116.848878,9514.681546,8.850442693,0.158241998,5695.843731,index,California,1,arrowtooth flounder
2023,7154.913132,5317.674018,9626.912397,8.875554551,0.151412618,5847.11717,index,California,1,arrowtooth flounder
2024,5111.735478,3819.218361,6841.672071,8.539294249,0.148723746,4108.425726,index,California,1,arrowtooth flounder
2003,12493.26812,9550.29831,16343.12805,9.432945227,0.137052293,9997.774575,index,Oregon,1,arrowtooth flounder
2004,13380.02753,10633.47898,16835.98916,9.501518392,0.117224447,10861.33974,index,Oregon,1,arrowtooth flounder
2005,15266.00261,12313.27435,18926.79632,9.633383583,0.109670591,12590.1917,index,Oregon,1,arrowtooth flounder
2006,14466.03996,11595.13831,18047.76332,9.579559109,0.112868365,12017.77491,index,Oregon,1,arrowtooth flounder
2007,14399.03614,11757.78812,17633.60929,9.574916548,0.103392425,12017.19248,index,Oregon,1,arrowtooth flounder
2008,16439.79995,13547.48069,19949.61488,9.7074605,0.09872866,13660.86268,index,Oregon,1,arrowtooth flounder
2009,17428.34999,14448.40672,21022.89819,9.765853469,0.095672188,14497.94342,index,Oregon,1,arrowtooth flounder
2010,17746.47481,14571.81443,21612.77648,9.783942173,0.100561924,14644.95097,index,Oregon,1,arrowtooth flounder
2011,23784.87174,19502.68384,29007.29604,10.07680502,0.101276171,19722.16289,index,Oregon,1,arrowtooth flounder
2012,22188.21167,18430.7342,26711.72684,10.00731642,0.094665788,18564.33063,index,Oregon,1,arrowtooth flounder
2013,20243.8134,15959.3584,25678.47471,9.915604515,0.121330722,16314.13925,index,Oregon,1,arrowtooth flounder
2014,25009.45636,20215.98318,30939.52452,10.12700929,0.108563459,20889.41438,index,Oregon,1,arrowtooth flounder
2015,19309.11967,15858.89488,23509.96745,9.868332785,0.100433974,16035.49172,index,Oregon,1,arrowtooth flounder
2016,22040.0366,18374.93415,26436.18798,10.00061592,0.092794146,18515.09554,index,Oregon,1,arrowtooth flounder
2017,21390.3245,17608.23793,25984.76826,9.970693972,0.099273169,17855.34937,index,Oregon,1,arrowtooth flounder
2018,15874.56852,12900.84328,19533.75606,9.672473643,0.105831376,13100.38395,index,Oregon,1,arrowtooth flounder
2019,12929.96952,9830.511119,17006.65507,9.467303114,0.139827522,10388.76483,index,Oregon,1,arrowtooth flounder
2021,11501.79538,9358.785295,14135.52003,9.350258422,0.105199707,9533.997056,index,Oregon,1,arrowtooth flounder
2022,19635.91105,16156.74201,23864.27923,9.885115365,0.099503186,16365.84119,index,Oregon,1,arrowtooth flounder
2023,26207.19347,21055.38285,32619.5441,10.17378921,0.111674342,21574.95958,index,Oregon,1,arrowtooth flounder
2024,30032.70838,24332.351,37068.49258,10.31004235,0.107389874,25114.94463,index,Oregon,1,arrowtooth flounder
2003,22510.33347,17149.22535,29547.40536,10.02172975,0.138789012,18702.72383,index,Washington,1,arrowtooth flounder
2004,21315.31035,15574.21537,29172.73484,9.967180889,0.160109536,17320.78012,index,Washington,1,arrowtooth flounder
2005,25745.40413,19569.20703,33870.85806,10.15601141,0.139950975,21256.74243,index,Washington,1,arrowtooth flounder
2006,15816.08908,11546.17358,21665.0713,9.668782997,0.16055072,12758.80452,index,Washington,1,arrowtooth flounder
2007,19403.88423,14754.45362,25518.44568,9.873228543,0.139761898,16036.87584,index,Washington,1,arrowtooth flounder
2008,21164.84496,16153.49538,27730.88125,9.960096828,0.137862273,17470.96614,index,Washington,1,arrowtooth flounder
2009,25304.69523,19506.50015,32826.37048,10.13874524,0.132779077,21154.74314,index,Washington,1,arrowtooth flounder
2010,33389.04272,25531.72407,43664.42981,10.41598306,0.136893344,27989.75146,index,Washington,1,arrowtooth flounder
2011,29057.61937,21837.73229,38664.51113,10.27703601,0.145738097,23854.50127,index,Washington,1,arrowtooth flounder
2012,26733.94918,19421.9011,36798.87128,10.19368954,0.163029991,21667.74124,index,Washington,1,arrowtooth flounder
2013,46958.40776,31808.07388,69324.91632,10.75701755,0.198749629,37845.86669,index,Washington,1,arrowtooth flounder
2014,23220.28632,17527.85295,30761.42288,10.05278159,0.14348993,19202.38623,index,Washington,1,arrowtooth flounder
2015,18736.19682,14245.80366,24641.99843,9.838212591,0.1397959,15406.97241,index,Washington,1,arrowtooth flounder
2016,20310.94703,14655.2429,28149.28229,9.918915282,0.16651421,16331.7024,index,Washington,1,arrowtooth flounder
2017,21604.93013,15832.94728,29481.11921,9.980676814,0.158588881,17711.59442,index,Washington,1,arrowtooth flounder
2018,14543.66821,10411.59182,20315.65284,9.584911003,0.170531675,11816.34877,index,Washington,1,arrowtooth flounder
2019,19728.43698,13382.80128,29082.94141,9.889816375,0.198009098,15693.63292,index,Washington,1,arrowtooth flounder
2021,17406.62235,12869.27837,23543.70563,9.764606008,0.154088433,14305.42447,index,Washington,1,arrowtooth flounder
2022,26045.21338,17002.56446,39897.10739,10.16758928,0.217590642,20669.68946,index,Washington,1,arrowtooth flounder
2023,35290.16617,25917.53789,48052.243,10.47135963,0.15749497,29212.04956,index,Washington,1,arrowtooth flounder
2024,27464.88383,19936.77909,37835.5922,10.22066352,0.163442807,22384.21531,index,Washington,1,arrowtooth flounder
